name,deltaX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deltaY,,,,,,,,,,,Value,,,,,
range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-4,-3,-2,-1,0,1,2,3,4,5,AxisX,AxisY,A,B,R,L
Dash,196,114,179,269,368,219,135,160,143,138,116,91,95,94,70,76,56,60,38,70,36,45,45,42,45,49,54,69,39,3666,1,1,1,1,1,3673,908,45,69,14,178,1,0,0,0,0,0
Jump,32,16,18,31,69,67,21,14,11,10,3,9,10,4,3,2,4,4,3,1,5,5,5,4,4,3,5,2,1,121,1,1,1,1,1,341,73,10,7,8,24,0,1,0,0,0,0
Lightning,46,32,73,83,292,58,39,9,25,24,8,10,1,9,2,1,16,9,9,15,2,1,2,8,10,8,4,1,2,1313,1,1,1,1,2,536,50,6,5,6,2,0,0,0,0,1,0
NutralA,74,77,55,41,59,40,6,11,4,13,2,5,2,5,9,3,1,9,1,1,1,1,1,1,2,2,2,9,2,187,13,5,7,8,20,110,18,9,11,2,8,0,0,1,0,0,0
NutralB,12,45,72,112,75,33,16,4,6,3,10,3,3,4,3,3,1,2,4,1,2,3,1,3,9,2,5,1,1,176,2,2,5,4,22,149,25,3,2,3,1,0,0,0,1,0,0
SideA,152,130,312,335,209,71,41,23,22,21,7,16,7,13,15,29,14,17,10,6,16,2,8,3,16,9,8,8,10,525,18,5,13,27,110,260,62,15,11,8,13,1,0,1,0,0,0
SideB,102,61,84,129,47,54,31,30,21,9,10,2,14,1,4,16,1,2,5,9,1,1,2,3,10,2,8,8,16,288,7,3,3,15,47,151,27,7,10,6,4,1,0,0,1,0,0
DownA,12,12,45,26,61,31,12,8,2,3,8,1,1,1,2,1,2,8,1,1,2,3,1,1,9,1,1,1,1,43,16,6,3,10,13,41,10,1,2,2,4,0,-1,1,0,0,0
DownB,36,12,19,43,44,10,4,18,4,1,5,1,1,2,10,1,8,1,1,2,1,1,1,8,8,1,1,1,1,57,13,5,10,4,4,48,26,2,3,3,4,0,-1,0,1,0,0
UpA,17,6,8,9,17,8,3,4,3,2,2,2,1,3,1,1,2,1,1,8,1,2,1,1,1,1,2,1,1,14,1,2,2,8,28,28,8,5,4,3,4,0,1,1,0,0,0
UpB,68,24,30,32,50,46,5,6,17,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,8,18,7,3,4,11,26,90,12,5,4,3,7,0,1,0,1,0,0
LimitBreak,11,1,11,91,101,61,1,1,1,1,1,11,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,491,1,1,1,1,1,251,31,11,11,1,1,0,0,0,0,0,1
