name,deltaX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deltaY,,,,,,,,,,,Value,,,,,
range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-4,-3,-2,-1,0,1,2,3,4,5,AxisX,AxisY,A,B,R,L
Dash,4,9,12,41,40,61,61,63,61,62,80,75,78,73,73,124,124,125,123,123,125,124,123,124,123,124,123,124,123,278,0,0,0,0,0,225,94,6,1,1,8,1,0,0,0,0,0
Jump,32,32,32,25,29,21,15,10,12,11,3,1,3,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,5,10,10,10,10,10,15,28,2,4,3,6,0,1,0,0,0,0
Lightning,0,1,0,0,0,2,0,1,1,0,5,6,5,5,6,130,130,130,130,130,130,130,130,130,130,130,130,130,130,135,1,1,1,1,1,6,38,1,1,1,1,0,0,0,0,1,0
NutralA,12,10,11,10,10,52,50,50,50,50,10,10,10,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,7,1,0,0,1,0,0,0,1,0,0,0
NutralB,22,20,20,11,10,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0
SideA,32,31,37,43,45,53,53,54,51,50,3,4,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,0,0,3,17,2,4,3,4,1,0,1,0,0,0
SideB,53,50,51,43,41,22,22,20,20,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,6,1,1,0,1,1,0,0,1,0,0
DownA,80,80,83,57,56,32,31,31,30,31,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,0,5,19,10,10,10,10,0,-1,1,0,0,0
DownB,33,32,30,54,51,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,0,0,0,2,33,30,50,50,50,0,-1,0,1,0,0
UpA,20,20,20,25,21,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,31,32,1,1,1,2,2,2,0,1,1,0,0,0
UpB,21,22,20,31,34,15,11,10,11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,22,10,27,33,8,1,1,0,0,0,1,0,1,0,0
LimitBreak,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,11,1,1,1,1,1,0,0,0,0,0,1
